URI,SmallURI,LargeURI,ImageWidth,Type,Priority,Caption,Taxon,Character,State,UseFor,TipStyle
# Taxon Arizonensis M,,,,,,,C.  ♂ ,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-Male/i-BxwgJQs/0/2b8eef6e/X4/Ceratina%20arizonensis.M.2116280-X4.jpg,,,100%,image-web,,Lateral view,C. arizonensis ♂ ,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-Male/i-sBTkqs3/0/727e8bb1/X4/Ceratina%20arizonensis.M.lateral.2116280-X4.jpg,,,100%,image-web,,Dorsal view,C. arizonensis ♂ ,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-Male/i-RLGG9QD/0/87a2b290/O/Ceratina%20arizonensis.M.head.2116280.jpg,,,100%,image-web,,Face,C. arizonensis ♂ ,,,,
# Taxon Micheneri M,,,,,,,C.  ♂ ,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-Male/i-5nZxqHQ/0/6d8e2b9b/X4/Ceratina%20micheneri.M.lateral.1901193-X4.jpg,,,100%,image-web,,Lateral view,C. micheneri ♂ ,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-Male/i-9pGfhM9/0/7f9ec858/X4/Ceratina%20micheneri.M.dorsal.1901193-X4.jpg,,,100%,image-web,,Dorsal view,C. micheneri ♂ ,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-Male/i-GhfDzRG/0/708c5348/O/Ceratina%20micheneri.M.head.1901193.jpg,,,100%,image-web,,Face,C. micheneri ♂ ,,,,
# Taxon Nanula M,,,,,,,C.  ♂ ,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-Male/i-NM46bqH/0/c005ada0/X4/Ceratina%20nanula.M.lateral.1920418-X4.jpg,,,100%,image-web,,Lateral view,C. nanula ♂ ,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-Male/i-jDcxtT3/0/b91c1972/X4/Ceratina%20nanula.M.dorsal.1920418-X4.jpg,,,100%,image-web,,Dorsal view,C. nanula ♂ ,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-Male/i-NsJ4nRj/0/c6d12b21/X4/Ceratina%20nanula.M.head.1920418-X4.jpg,,,100%,image-web,,Face,C. nanula ♂ ,,,,
# Taxon neomexicana M,,,,,,,C.  ♂ ,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-Male/i-z9ZRLNW/0/66646e41/X4/Ceratina%20neomexicana.M.lateral.OSAC0001225344-X4.jpg,,,100%,image-web,,Lateral view,C. neomexicana ♂ ,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-Male/i-gqTqQzJ/0/c40a048d/X4/Ceratina%20neomexicana.M.dorsal.OSAC0001225344-X4.jpg,,,100%,image-web,,Dorsal view,C. neomexicana ♂ ,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-Male/i-8mG4tQP/0/7b119e2e/O/Ceratina%20neomexicana.M.head.OSAC0001225344.jpg,,,100%,image-web,,Face,C. neomexicana ♂ ,,,,
# Taxon Pacifica M,,,,,,,C.  ♂ ,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-Male/i-ft6gprQ/0/479788ae/X4/Ceratina%20pacificum.M.lateral.1914112-X4.jpg,,,100%,image-web,,Lateral view,C. pacifica ♂ ,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-Male/i-ggqJHD6/0/b29368c7/X4/Ceratina%20pacificum.M.dorsal.1914112-X4.jpg,,,100%,image-web,,Dorsal view,C. pacifica ♂ ,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-Male/i-psb52LS/0/a402c6a9/X4/Ceratina%20pacificum.M.head.1914112-X4.jpg,,,100%,image-web,,Face,C. pacifica ♂ ,,,,
# Taxon Tejonensis M,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-Male/i-tgTWJ4W/0/64c768b7/X4/Ceratina%20tejonensis.M.lateral.1901018-X4.jpg,,,100%,image-web,,Lateral view,C. tejonensis ♂ ,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-Male/i-rZVNcW3/0/7601b458/X4/Ceratina%20tejonensis.M.dorsal.1901018-X4.jpg,,,100%,image-web,,Dorsal view,C. tejonensis ♂ ,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-Male/i-dw5fXwJ/0/abfe559e/X4/Ceratina%20tejonensis.M.head.1901018-X4.jpg,,,100%,image-web,,Face,C. tejonensis ♂ ,,,,
# Taxon Sequoiae M,,,,,,,C.  ♂ ,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-Male/i-Ckrt3vR/2/32c2b9e0/X4/Ceratina%20sequoiae.M.lateral.1921013-X4.jpg,,,100%,image-web,,Lateral view,C. sequoiae ♂ ,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Ceratina-Male/i-CVJjP2X/0/acaa10e1/X4/Ceratina%20sequoiae.M.dorsal.1921013-X4.jpg,,,100%,image-web,,Dorsal view,C. sequoiae ♂ ,,,,
